CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
33525;26-oct-17;4714122;215
33545;29-oct-17;4714038;216
33546;30-oct-17;4714122;216
33547;31-oct-17;4714122;216
33548;1-nov-17;4714122;216
36067;7-mar-18;4872041;229
36068;8-mar-18;4872041;229
36069;9-mar-18;4872041;229
36070;10-mar-18;4872042;229
37767;14-jun-18;4912041;242
37768;15-jun-18;4912041;242
37769;16-jun-18;4912042;242
37770;17-jun-18;4912043;242
37771;18-jun-18;4912041;242
37772;19-jun-18;4912041;242
37773;20-jun-18;4912041;242
37774;21-jun-18;4912041;242
37775;22-jun-18;4912041;242
37776;23-jun-18;4912042;242
37777;24-jun-18;4912043;242
37778;25-jun-18;4912041;242
37779;26-jun-18;4912041;242
37780;27-jun-18;4912041;242
37781;28-jun-18;4912041;242
37782;29-jun-18;4912041;242
37783;30-jun-18;4912042;242
37784;1-jul-18;4912043;242
37785;2-jul-18;4912082;242
37786;3-jul-18;4912041;242
37787;4-jul-18;4912041;242
37788;5-jul-18;4912041;242
37789;6-jul-18;4912041;242
37790;7-jul-18;4912042;242
37791;8-jul-18;4912043;242
37792;9-jul-18;4912041;242
37793;10-jul-18;4912041;242
37794;11-jul-18;4912041;242
37795;12-jul-18;4912041;242
37796;13-jul-18;4912041;242
37797;14-jul-18;4912042;242
37798;15-jul-18;4912043;242
38167;25-jul-18;4932122;244
30705;16-mar-17;4493012;189
30706;17-mar-17;4493012;189
38168;26-jul-18;4932122;244
38169;27-jul-18;4932122;244
38170;28-jul-18;4932016;244
38171;29-jul-18;4932043;244
38172;30-jul-18;4932122;244
38173;31-jul-18;4932122;244
38174;01-AUG-18;4932122;244
38175;02-AUG-18;4932122;244
38176;03-AUG-18;4932122;244
38177;04-AUG-18;4932016;244
38178;05-AUG-18;4932043;244
38179;06-AUG-18;4932122;244
38180;07-AUG-18;4932082;244
38181;08-AUG-18;4932122;244
38182;09-AUG-18;4932122;244
38183;10-AUG-18;4932122;244
38184;11-AUG-18;4932016;244
38185;12-AUG-18;4932043;244
38345;13-AUG-18;4992041;245
38346;14-AUG-18;4992041;245
38347;15-AUG-18;4992105;245
38348;16-AUG-18;4992105;245
38349;17-AUG-18;4992105;245
38350;18-AUG-18;4992106;245
38351;19-AUG-18;4992107;245
38352;20-AUG-18;4992082;245
38353;21-AUG-18;4992041;245
38354;22-AUG-18;4992041;245
38355;23-AUG-18;4992041;245
38356;24-AUG-18;4992041;245
38357;25-AUG-18;4992042;245
38358;26-AUG-18;4992043;245
38359;27-AUG-18;4992041;245
38360;28-AUG-18;4992041;245
38361;29-AUG-18;4992041;245
38362;30-AUG-18;4992041;245
38363;31-AUG-18;4992041;245
38646;23-sep-18;5032082;247
38665;24-sep-18;5032012;248
38666;25-sep-18;5032012;248
38667;26-sep-18;5032012;248
38668;27-sep-18;5032012;248
38669;28-sep-18;5032012;248
38670;29-sep-18;5032042;248
38671;30-sep-18;5032043;248
38672;1-oct-18;5032012;248
38673;2-oct-18;5032012;248
38674;3-oct-18;5032012;248
38675;4-oct-18;5032012;248
38676;5-oct-18;5032012;248
38677;6-oct-18;5032042;248
38678;7-oct-18;5032043;248
38679;8-oct-18;5032012;248
38680;9-oct-18;5032012;248
38681;10-oct-18;5032012;248
38682;11-oct-18;5032012;248
38683;12-oct-18;5032012;248
38684;13-oct-18;5032042;248
38685;14-oct-18;5032043;248
38686;15-oct-18;5032082;248
38687;16-oct-18;5032012;248
38688;17-oct-18;5032012;248
38689;18-oct-18;5032012;248
38690;19-oct-18;5032012;248
38691;20-oct-18;5032042;248
38692;21-oct-18;5032043;248
36065;5-mar-18;4872041;229
36066;6-mar-18;4872041;229
38693;22-oct-18;5032012;248
38694;23-oct-18;5032012;248
38695;24-oct-18;5032012;248
38696;25-oct-18;5032012;248
38697;26-oct-18;5032012;248
38698;27-oct-18;5032042;248
38699;28-oct-18;5032043;248
38700;29-oct-18;5032012;248
38701;30-oct-18;5032012;248
38702;31-oct-18;5032012;248
38703;1-nov-18;5032012;248
38704;2-nov-18;5032012;248
38705;3-nov-18;5032042;248
38706;4-nov-18;5032043;248
38707;5-nov-18;5032082;248
38708;6-nov-18;5032012;248
38709;7-nov-18;5032012;248
38710;8-nov-18;5032012;248
38711;9-nov-18;5032012;248
38712;10-nov-18;5032042;248
38713;11-nov-18;5032043;248
